ID,Host_IP,Host_Name,Event_Time
69197e3f5df658e6a947175a,10.20.7.73,CHN_D6_U2_AP1,13:03:16
69197e3d5df658e6a9471756,10.20.6.50,CHN_GF_Admin_AP,13:03:13
69197e3a5df658e6a947174a,10.20.7.77,NewAP-103-AP,13:03:10
69197e3ae6da351358805b0b,10.20.7.74,CHN_D6_U2_AP2,13:03:10
69197e395df658e6a9471740,10.20.7.40,A2-AP-Unit-4-AP_Exit,13:03:08
69197e38e6da351358805b05,10.20.6.102,CHN-NewAP-102-AP,13:03:08
69197e385df658e6a9471733,10.20.7.78,CHN-NewAP-101- AP,13:03:07
69197e375df658e6a947172d,10.20.7.126,CHN_D4-AP_Unit-3_Inside_AP2,13:03:07
69197e365df658e6a9471725,10.20.7.108,CHN-Silvan-AP,13:03:06
69197e355df658e6a947171e,10.20.6.56,CHN_GF_HR_TA_AP2,13:03:05
69197e33e6da351358805af4,10.20.6.53,CHN_GF_HR_TA_AP,13:03:03
69197e335df658e6a9471714,10.20.7.121,CHN_4Dwing-sudhacabin_AP,13:03:02
69197e325df658e6a947170e,10.20.6.51,CHN_GF_Cafeteria_AP,13:03:02
69197e32e6da351358805aee,10.20.7.110,CHN_NewAP-104_5thfloorUnit1_AP,13:03:01
69197e31e6da351358805aec,10.20.6.54,CHN_GF_HR_Trainer_AP,13:03:01
69197e2f5df658e6a9471708,10.20.7.105,CHN_D5-Unit3-Inside_AP,13:02:59
69197e2fe6da351358805ad9,10.20.6.52,CHN_GF_HR_Payroll_AP,13:02:59
69197e2e5df658e6a9471700,10.20.7.101,CHN_D5-Apphelp_Bay_AP,13:02:58
69197e2be6da351358805ad0,10.20.7.127,CHN_D4_Unit-3_outside_AP,13:02:56
69197e2be6da351358805acc,10.20.7.10,A2_Unit2_Exit_AP,13:02:55
69197e295df658e6a94716e4,10.20.6.20,CHN_Virtual_Controller_AP,13:02:53
69197e28e6da351358805ac1,10.20.7.100,CHN_D5_Unit-4_AP,13:02:52
69197e27e6da351358805abb,10.20.7.20,2A-U1-Mgmt_opp_AP,13:02:51
69197e265df658e6a94716da,10.20.7.102,CHN_D5-Reception_AP,13:02:51
69197e215df658e6a94716bc,10.20.7.122,CHN_D4_Boardroom_AP,13:02:46
69197e205df658e6a94716b6,10.20.7.104,CHN_D5-Unit_AP1,13:02:44
69197e1fe6da351358805aa8,10.20.7.67,CHN_D6-B_AP7,13:02:43
69197e1e5df658e6a94716af,10.20.7.11,2A-U1-SOC_AP,13:02:42
69197e1ae6da351358805a95,10.20.7.70,CHN-D6-U1_AP2,13:02:38
69197e17e6da351358805a83,10.20.7.69,CHN-D6-U1_AP1,13:02:35
69197e15e6da351358805a78,10.20.7.19,A2_AP_Unit-3-Entrance,13:02:33
69197e14e6da351358805a71,10.20.7.120,CHN_4D-U1-Arlo_AP1,13:02:32
69197e115df658e6a947168f,10.20.7.125,CHN_D4_Unit-3_Inside_AP,13:02:29
69197e0f5df658e6a947168d,10.20.7.15,A2_Mgmt_AP,13:02:27
69193f91e6da3513587f9647,10.24.6.22,6-PAX_VC-NEW_AP,08:35:47
69193f91e6da3513587f9645,10.24.6.11,ODC-1_AP2,08:35:46
69193f8fe6da3513587f963c,10.24.6.10,ODC-1_AP1,08:35:45
69193f8f5df658e6a9465200,10.24.6.20,Cafetria_AP,08:35:44
69193f8d5df658e6a94651fe,10.24.6.15,ODC-3_AP2,08:35:43
69193f8c5df658e6a94651fc,10.24.6.13,ODC-2_AP2,08:35:42
69193f8c5df658e6a94651fa,10.24.6.18,HR_Passage_AP,08:35:41
69193f8b5df658e6a94651f8,10.24.6.14,ODC-3_AP1,08:35:40
69193f8a5df658e6a94651f5,10.24.6.19,Reception_AP,08:35:39
69193f89e6da3513587f9636,10.24.6.12,ODC-2_AP1,08:35:38
69193f885df658e6a94651f3,10.24.6.16,VC_Room_AP,08:35:37
69193f87e6da3513587f9634,10.24.6.17,Training_Room_AP,08:35:36
691807935df658e6a942ea85,10.20.72.101,CHN_CPPM-Sec_controller,10:24:38
691807915df658e6a942ea7f,10.20.72.101,CHN_CPPM-Sec_controller,10:24:38
6918077e5df658e6a942ea5d,10.20.73.103,CHN_CPPM-CLearPass_SEC_Controller,10:24:17
6918077d5df658e6a942ea59,10.20.73.103,CHN_CPPM-CLearPass_SEC_Controller,10:24:17
691804bde6da3513587c2bd3,10.20.7.19,A2_AP_Unit-3-Entrance,10:12:33
6917fa155df658e6a942bde4,10.20.3.64,CHN_IOPEX-Dwing-6FLR_SW2,09:27:05
6917fa15e6da3513587c0920,10.20.3.64,CHN_IOPEX-Dwing-6FLR_SW2,09:27:05
69179da85df658e6a94196bd,10.11.10.53,US-DALLAS-Aruba-X.53-AP,02:52:44
69179da6e6da3513587ae370,10.11.10.52,US-DALLAS-Aruba-x.52-AP,02:52:43
69179da6e6da3513587ae36e,10.11.10.51,US-DALLAS-Aruba-x.51-AP,02:52:42
69179da55df658e6a94196bb,10.11.10.50,US-DALLAS-Aruba-VC--X.50-AP,02:52:41
69179d65e6da3513587ae33e,10.11.10.241,iOPEX-US-DALLAS-DC-PAFW02,02:51:39
69179d65e6da3513587ae33c,10.11.10.241,iOPEX-US-DALLAS-DC-PAFW02,02:51:39
69179d64e6da3513587ae339,10.11.10.240,iOPEX-US-DALLAS-DC-PAFW01,02:51:38
69179d64e6da3513587ae337,10.11.10.240,iOPEX-US-DALLAS-DC-PAFW01,02:51:38
69165f945df658e6a93d2b05,10.27.3.10,CHN_Guindy_Fortigate_Firewall,04:15:36
69165f94e6da351358767ecf,10.27.3.10,CHN_Guindy_Fortigate_Firewall,04:15:36
